Company Name,Industry,Stage,Amount($),HeadQuarter,Funding Year,Founded,category
TheCollegeFever,Brand Marketing,Early Stage,250000.0,Bangalore,2018,unknown,E-Commerce & Marketplace
Happy Cow Dairy,Agriculture,Early Stage,584000.0,Mumbai,2018,unknown,Food & Agriculture
MyLoanCare,Credit,Series A to Series H,949000.0,Gurgaon,2018,unknown,Finance $ Banking
PayMe India,Financial Services,Angel and Grants,2000000.0,Noida,2018,unknown,Consulting & Services
Eunimart,E-Commerce Platforms,Early Stage,0.0,Hyderabad,2018,unknown,E-Commerce & Marketplace
Hasura,Cloud Infrastructure,Early Stage,1600000.0,Bengaluru,2018,unknown,Other
Tripshelf,Internet,Early Stage,233600.0,Kalkaji,2018,unknown,Technology
Hyperdata.IO,Market Research,Angel and Grants,730000.0,Hyderabad,2018,unknown,E-Commerce & Marketplace
Freightwalla,Information Services,Early Stage,0.0,Mumbai,2018,unknown,Consulting & Services
Microchip Payments,Mobile Payments,Early Stage,0.0,Bangalore,2018,unknown,Other
BizCrum Infotech Pvt. Ltd.,B2B,Early Stage,0.0,Delhi,2018,unknown,Other
Emojifi,Internet,Early Stage,0.0,Bengaluru,2018,unknown,Technology
Flock,Apps,Early Stage,0.0,India,2018,unknown,Other
Freshboxx,Food Delivery,Early Stage,0.0,Hubli,2018,unknown,Food & Agriculture
Wide Mobility Mechatronics,Industrial Automation,Early Stage,0.0,Bangalore,2018,unknown,Autommotive $ Transportation
Pitstop,Automotive,Early Stage,1460000.0,Bengaluru,2018,unknown,Autommotive $ Transportation
Mihuru,Finance,Early Stage,150000.0,Mumbai,2018,unknown,Finance $ Banking
Fyle,Accounting,Early Stage,1100000.0,Bengaluru,2018,unknown,Finance $ Banking
AppWharf,Artificial Intelligence,Early Stage,0.0,New Delhi,2018,unknown,Other
Antariksh Waste Ventures Pvt ltd,Internet of Things,Early Stage,7300.0,Chennai,2018,unknown,Technology
Cogoport,Air Transportation,Series A to Series H,6000000.0,Mumbai,2018,unknown,Autommotive $ Transportation
PaisaDukan,Financial Services,Early Stage,650000.0,Mumbai,2018,unknown,Consulting & Services
Sleepy Owl Coffee,Food and Beverage,Early Stage,511000.0,New Delhi,2018,unknown,Food & Agriculture
BlueJack,Autonomous Vehicles,Early Stage,934400.0,Delhi,2018,unknown,Autommotive $ Transportation
PregBuddy,Enterprise Software,Early Stage,0.0,Bengaluru,2018,unknown,Technology
AgNext Technologies,Agriculture,Series A to Series H,0.0,Mohali,2018,unknown,Food & Agriculture
Pando,Logistics,Early Stage,2000000.0,Chennai,2018,unknown,Autommotive $ Transportation
Mintifi,Financial Services,Early Stage,2000000.0,Mumbai,2018,unknown,Consulting & Services
Carcrew,Automotive,Early Stage,2000000.0,Mumbai,2018,unknown,Autommotive $ Transportation
NicheAI,Artificial Intelligence,Angel and Grants,0.0,Hyderabad,2018,unknown,Other
Chariot Tech,Internet of Things,Early Stage,292000.0,New Delhi,2018,unknown,Technology
Ideal Insurance Brokers/ 121Policy.com,Insurance,Early Stage,1000000.0,Kolkata,2018,unknown,Finance $ Banking
Loanzen,Financial Services,Early Stage,0.0,Bangalore,2018,unknown,Consulting & Services
Mojro Technologies,Information Technology,Early Stage,650000.0,Bengaluru,2018,unknown,Technology
Elemential,Blockchain,Early Stage,1000000.0,Mumbai,2018,unknown,Other
Loadshare,Industrial Automation,Series A to Series H,5000000.0,Bengaluru,2018,unknown,Autommotive $ Transportation
Yumlane,Food and Beverage,Series A to Series H,4000000.0,Mumbai,2018,unknown,Food & Agriculture
Kriger Campus,Education,Early Stage,438000.0,New Delhi,2018,unknown,Other
Pipa+Bella,E-Commerce,Series A to Series H,1000000.0,Mumbai,2018,unknown,E-Commerce & Marketplace
Kaleidofin,Financial Services,Early Stage,2800000.0,Chennai,2018,unknown,Consulting & Services
Chakr Innovation,Renewable Energy,Early Stage,0.0,New Delhi,2018,unknown,Other
IndigoLearn,E-Learning,Early Stage,150000.0,Hyderabad,2018,unknown,Other
UClean,Clean Energy,Early Stage,584000.0,India,2018,unknown,Other
Coutloot,E-Commerce,Early Stage,1000000.0,Mumbai,2018,unknown,E-Commerce & Marketplace
Letstrack,Apps,Early Stage,1700000.0,New Delhi,2018,unknown,Other
Pooltoo,Transportation,Early Stage,0.0,New Delhi,2018,unknown,Autommotive $ Transportation
Finzy,Financial Services,Early Stage,1300000.0,Bangalore,2018,unknown,Consulting & Services
Fitternity,Fitness,Early Stage,2000000.0,Mumbai,2018,unknown,Other
Keito,Artificial Intelligence,Early Stage,0.0,Pune,2018,unknown,Other
Tolet for Students,Hospitality,Early Stage,73000.0,Jodhpur,2018,unknown,Other
Chai Kings,Food and Beverage,Early Stage,292000.0,Chennai,2018,unknown,Food & Agriculture
Dainik Jagran,Media and Entertainment,Early Stage,584000.0,Kanpur,2018,unknown,Other
Playtoome,Broadcasting,Early Stage,292000.0,Bengaluru,2018,unknown,Other
ONGO Framework,B2B,Angel and Grants,1000000.0,Hyderabad,2018,unknown,Other
Notesgen,EdTech,Early Stage,182500.0,New Delhi,2018,unknown,Technology
Arogya MedTech,Health Care,Early Stage,219000.0,Kolkata,2018,unknown,Healthcare
Propshop24,E-Commerce,Early Stage,500000.0,Mumbai,2018,unknown,E-Commerce & Marketplace
myUpchar,Health Care,Series A to Series H,5000000.0,New Delhi,2018,unknown,Healthcare
MissMalini Entertainment,unknown,Early Stage,1518400.0,Mumbai,2018,unknown,Other
Rooter,Sports,Early Stage,657000.0,India,2018,unknown,Other
ZestMoney,Big Data,Series A to Series H,13400000.0,Bangalore,2018,unknown,Other
